TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
4447,5715981.73746,9246.96551858,3069121,22345.3490574,2296,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
4533,5715981.73746,8948.87036591,3020467.75,22362.5019778,2358,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
4622,5715981.73746,8948.87036591,2958881,22485.0178273,2425,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
4711,5715981.73746,9049.75876752,2937660.75,22329.5354173,2483,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
4855,5715981.73746,181.731175559,2137805.5,29948.8795932,2995,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
4941,5715981.73746,9028.77756059,3242683.25,21968.0454791,2024,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
5028,5715981.73746,9023.93438165,3051356.5,22433.5683164,2312,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
5116,5715981.73746,5209.62948994,3018975.75,22213.1482159,2381,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
5205,5715981.73746,8969.17700522,2916930,22542.49096,2491,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
5291,5715981.73746,8971.69231246,2919112,22539.0977114,2512,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
5436,5715981.73746,181.914448002,2126303.75,29844.8123546,3026,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
90,4228085.47251,137.793178169,363079.84375,7526.87518291,4071,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[695-2][9179-2][10981-2][14825-2][19046-2][19056-2];4228085.47251,[5314-2][6383-2][9179-2][10981-2][19046-2][19056-2];4095846.09714,[5314-2][9179-2][9601-2][10981-2][14825-2][19046-2];3832687.22852
