TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
3405,5602589.81313,2940.33762742,2289313.75,19656.8335277,4206,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
3496,5602589.81313,3271.25409493,2246242.25,19742.0990746,4232,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
3588,5602589.81313,1220.25290375,2268481.25,19471.6898518,4224,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
3681,5602589.81313,10443.0939481,2260811.25,19888.836022,4218,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
3830,5602589.81313,542.646002354,1767705.625,24913.8610438,4223,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
3923,5602589.81313,542.646002354,2423748.25,20750.4287472,3899,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
4016,5602589.81313,2049.66789988,2342126.5,20615.6296227,4065,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
4109,5602589.81313,2484.19836831,2281662.25,20869.3682873,4057,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
4202,5602589.81313,1583.00266175,2264928,20845.6907223,4057,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
4295,5602589.81313,1282.74760825,2268960,20873.4052409,4034,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][9179-2][14825-2][14831-2][19042-2][19046-2][19086-2];5602589.81313,[5314-2][8765-2][9179-2][9601-2][14825-2][14831-2][19042-2][19086-2];5564438.42419,[4925-2][5314-2][5475-2][9179-2][9601-2][14825-2][19042-2][19086-2];5479463.65015
