TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
3505,5820296.86417,1660.97406434,2562081.25,21221.6129023,3595,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
3594,5820296.86417,11491.1111084,2544513.25,21212.6255458,3605,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
3737,5820296.86417,281.942227321,1948861.5,27283.5937489,3755,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
3827,5820296.86417,962.515891117,2709493.25,21811.9513531,3325,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
3915,5820296.86417,2119.68068178,2643536.5,21857.3607706,3426,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
4004,5820296.86417,3228.96411609,2630922.5,21804.1041004,3410,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
4092,5820296.86417,1069.67963687,2600369.75,21875.0498241,3437,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
4181,5820296.86417,548.751317016,2580592.75,21981.9400019,3476,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
4323,5820296.86417,338.071243802,1992785.5,27900.0840569,3624,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446,[5314-2][5475-2][9179-2][14825-2][19042-2][19049-2][19086-2];5306142.44984
4412,5844199.91608,488.559076979,2818773,22169.8343866,3068,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446
4501,5844199.91608,9366.34754319,2654720.25,22316.8633939,3365,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446
4592,5844199.91608,1857.75687852,2662733.75,22066.0072449,3327,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417,[5314-2][5475-2][9179-2][14825-2][19042-2][19048-2][19086-2];5438804.47446
4683,6002720.39158,3006.08535581,2563518.75,22445.6172571,3448,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
4772,6002720.39158,2478.07980607,2592375.75,22233.4465778,3392,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
4860,6002720.39158,1675.56742926,2606943,22058.5584169,3415,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
4950,6002720.39158,11823.2896727,2595833,22104.9617901,3448,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5041,6002720.39158,3208.29238235,2578818.75,22179.4308215,3449,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
