TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 32,Top
0,7,-2.99999991059,1.76444458961,0.0475091477715,264,-1[531-2][924-2][1112-2];32;63;1;,[35-2][1030-2][1158-2];7;6;0;,[330-2][372-2][884-2];7;6;0;,[370-2][1229-2][1684-2];6;5;0;
0,8,-4,1.41191995144,0.081514233881,269,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[330-2][372-2][884-2];7;6;0;,[35-2][1030-2][1158-2];7;6;0;
0,8,-4,1.55353653431,0.0753267780146,258,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[330-2][372-2][884-2];7;6;0;,[35-2][1030-2][1158-2];7;6;0;
0,8,-4,1.27004742622,0.0938561321437,266,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[330-2][372-2][884-2];7;6;0;,[370-2][1030-2][1229-2];7;6;0;
0,8,-4,1.70853328705,0.097700689283,267,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[35-2][852-2][1796-2];8;7;0;,[330-2][372-2][884-2];7;6;0;
0,8,-3.24999987893,1.76243281364,0.102335922417,251,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[35-2][852-2][1796-2];8;7;0;,[35-2][1030-2][1158-2];7;6;0;
0,8,-3.24999987893,1.79714560509,0.0911719517845,254,-1[531-2][924-2][1112-2];32;63;1;,[35-2][852-2][1796-2];8;7;0;,[545-2][972-2][1403-2];8;7;0;,[35-2][1030-2][1158-2];7;6;0;
0,8,-2.99999991059,2.02158069611,0.116988849672,255,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[35-2][852-2][1796-2];8;7;0;,[370-2][1030-2][1229-2];7;6;0;
0,8,-4.99999992549,1.86314225197,0.101207819409,248,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[35-2][852-2][1796-2];8;7;0;,[59-2][1075-2][1235-2];7;6;0;
0,8,-2.99999991059,1.8731726408,0.099988947895,242,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[35-2][852-2][1796-2];8;7;0;,[35-2][1030-2][1158-2];7;6;0;
0,8,-4,2.06342363358,0.0478853168528,250,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[35-2][852-2][1796-2];8;7;0;,[370-2][1030-2][1229-2];7;6;0;
0,8,-4.99999992549,1.9202426672,0.0484113059412,249,-1[531-2][924-2][1112-2];32;63;1;,[35-2][852-2][1796-2];8;7;0;,[545-2][972-2][1403-2];8;7;0;,[35-2][1030-2][1158-2];7;6;0;
0,8,-4,1.8889644146,0.101660232649,245,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[35-2][852-2][1796-2];8;7;0;,[370-2][1030-2][1229-2];7;6;0;
0,8,-4,2.10898184776,0.105279610255,250,-1[531-2][924-2][1112-2];32;63;1;,[545-2][972-2][1403-2];8;7;0;,[35-2][852-2][1796-2];8;7;0;,[370-2][1030-2][1229-2];7;6;0;
0,8,-4.99999992549,2.01002883911,0.117790271276,249,-1[531-2][924-2][1112-2];32;63;1;,[35-2][852-2][1796-2];8;7;0;,[545-2][972-2][1403-2];8;7;0;,[330-2][372-2][884-2];7;6;0;
