TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
1802,46.6357154846,-4,16.3894767761,0.234502033679,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1833,46.6357154846,-5.99999982119,25.872844696,0.185788212023,1239,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1864,46.6357154846,-5.99999982119,27.8391571045,0.16208469122,946,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1896,46.6357154846,-5.99999982119,28.4429721832,0.153774091026,853,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1927,46.6357154846,-5.99999982119,28.5085678101,0.152782070494,837,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
1958,46.6357154846,-5.99999982119,28.4147758484,0.153838415502,841,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2010,46.6357154846,-4.99999992549,16.3806362152,0.234697616408,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2041,46.6357154846,-2.99999991059,25.3558444977,0.189665285418,1317,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2073,46.6357154846,-6.99999968708,28.055809021,0.158906857777,914,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2105,46.6357154846,-6.99999968708,28.1153182983,0.158420481349,884,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2135,46.6357154846,-8,28.1837272644,0.157524878767,895,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2167,46.6357154846,-4,28.1750717163,0.158279322028,888,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2219,46.6357154846,-5.99999982119,16.3952846527,0.234529293081,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2250,46.6357154846,-5.99999982119,24.4189147949,0.197001988642,1446,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2282,46.6357154846,-5.99999982119,26.9964809418,0.170675051231,1047,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2313,46.6357154846,-5.99999982119,27.85364151,0.161356977093,935,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2345,46.6357154846,-4,28.3291339874,0.155844275551,859,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2376,46.6357154846,-4,28.89909935,0.150097354439,798,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2429,46.6357154846,-6.99999968708,16.3986110687,0.234614038551,2649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2460,46.6357154846,-5.99999982119,24.0404491425,0.199891525286,1486,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2492,46.6357154846,-5.99999982119,27.02784729,0.169808396338,1037,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2523,46.6357154846,-4,27.8367404938,0.159819156897,917,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
2555,46.6357154846,-3.49999984354,28.4980506897,0.151888574323,839,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2];46.6357154846,[9179-2][9841-2];36.5,[9179-2][14825-2];36.0163040161
31,8,-5.99999982119,0.291369855404,0.0187552290966,4246,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[2012-2][14481-2];8,[12011-2][14536-2];7,[6470-2][19300-2];7
62,8,-4.99999992549,0.471084177494,0.0196674533288,4052,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[2012-2][14481-2];8,[12011-2][14536-2];7,[6470-2][19300-2];7
92,8,-4.99999992549,0.616975903511,0.0211879719646,4007,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[2012-2][14481-2];8,[12011-2][14536-2];7,[6470-2][19300-2];7
123,8.60000038147,-5.99999982119,0.724437475204,0.0226414380945,3924,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[7219-2][9179-2];8.60000038147,[2012-2][14481-2];8,[6470-2][19300-2];7
153,8.60000038147,-6.99999968708,0.786613106728,0.0233756055583,3927,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[7219-2][9179-2];8.60000038147,[8569-2][8760-2];8,[2012-2][14481-2];8
184,8.60000038147,-6.99999968708,0.812070667744,0.0243331600978,3975,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[7219-2][9179-2];8.60000038147,[2012-2][14481-2];8,[8569-2][8760-2];8
215,8.60000038147,-6.99999968708,0.909774899483,0.0255367569792,3912,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[7219-2][9179-2];8.60000038147,[8569-2][8760-2];8,[2012-2][14481-2];8
245,15,-5.99999982119,0.952773153782,0.0270705719004,3928,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[65-2][9179-2];15,[15494-2][15806-2];9,[7219-2][9179-2];8.60000038147
277,15,-6.49999975786,1.08673501015,0.0290920302995,3871,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[65-2][9179-2];15,[4781-2][9179-2];13.3333330154,[15494-2][15806-2];9
307,15,-9.99999985099,1.26244795322,0.0319184423349,3882,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[65-2][9179-2];15,[4781-2][9179-2];13.3333330154,[9283-2][11807-2];12
338,18.5,-5.99999982119,1.3268725872,0.0339638534922,3876,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][15448-2];18.5,[65-2][9179-2];15,[4781-2][9179-2];13.3333330154
369,23,-5.99999982119,1.67292046547,0.0397621517321,3800,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][19051-2];23,[9179-2][15448-2];18.5,[3641-2][9179-2];17
399,32.6485137939,-4.99999992549,2.31669092178,0.0481485772923,3638,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][19056-2];32.6485137939,[9179-2][10493-2];23,[9179-2][19051-2];23
429,51.9609375,-6.99999968708,3.3974468708,0.0606726448317,3405,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][19056-2];32.6485137939,[9179-2][19051-2];23
459,51.9609375,-4.99999992549,4.47888231277,0.0722000471685,3105,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][19056-2];32.6485137939,[9179-2][19051-2];23
489,51.9609375,-4.99999992549,6.13137626648,0.0918997238468,2796,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][19056-2];32.6485137939,[9179-2][10493-2];23
519,51.9609375,-8,8.10619258881,0.124446128893,2564,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][19056-2];32.6485137939,[9179-2][15443-2];32
549,51.9609375,-8,10.5707025528,0.175432887912,2519,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][19056-2];32.6485137939,[9179-2][15443-2];32
579,51.9609375,-8,14.3023471832,0.226338420746,2333,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][19056-2];32.6485137939,[9179-2][15443-2];32
629,51.9609375,-5.99999982119,16.4206027985,0.293381192492,2695,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][19056-2];32.6485137939,[9179-2][15443-2];32
659,51.9609375,-5.99999982119,29.0978279114,0.312400799076,1581,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
689,51.9609375,-4,36.1990699768,0.296134344242,1164,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
720,51.9609375,-4,40.7090797424,0.270992158099,939,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
750,51.9609375,-1.4999999553,43.0147399902,0.251941963967,833,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
781,51.9609375,-4,43.8878936768,0.243597273325,783,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
833,51.9609375,-4,24.9103775024,0.362346990228,2649,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
862,51.9609375,-2.99999991059,41.5361061096,0.276106136027,1044,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
893,51.9609375,-1.4999999553,44.1679267883,0.242466538173,801,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
924,51.9609375,-1.52380952381,44.5352783203,0.237155967994,754,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
956,51.9609375,-1.52380952381,45.1086196899,0.229584071476,714,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
987,51.9609375,-4,44.7472496033,0.23458473976,761,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
1038,51.9609375,-5.99999982119,24.9132728577,0.362438412876,2649,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
1068,51.9609375,-5.99999982119,39.7923698425,0.292410778601,1199,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
1099,51.9609375,-2.74999991804,43.1474761963,0.255297012854,896,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
1130,51.9609375,-2.99999991059,44.7724075317,0.233689319345,739,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
1161,51.9609375,-4.99999992549,44.8331413269,0.232653193152,735,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][19056-2];32.6485137939
1192,51.9609375,-4.99999992549,44.7614173889,0.232974586145,725,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][14825-2];36.0163040161
1243,51.9609375,-8.99999993294,24.9187107086,0.362553542837,2649,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][14825-2];36.0163040161
1273,51.9609375,-4.49999996647,37.6364517212,0.310103827151,1403,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][14825-2];36.0163040161
1304,51.9609375,-2,43.7598190308,0.247078222022,834,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][14825-2];36.0163040161
1335,51.9609375,-1.48529416582,44.9013938904,0.231275364201,724,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][14825-2];36.0163040161
1366,51.9609375,-2,44.9692497253,0.230285466328,716,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][14825-2];36.0163040161
1396,51.9609375,-2.99999991059,45.0711212158,0.229217090494,713,0[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2];51.9609375,[9179-2][10981-2];46.6357154846,[9179-2][14825-2];36.0163040161
