TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
98,1317,-2.99999991059,143.887237549,2.66234894307,2881,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
130,1317,1,287.572601318,4.28743926606,1998,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
162,1317,1,441.805511475,5.36771103739,1454,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
195,1317,1,547.000671387,5.81884228526,1129,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
227,1317,2,616.543762207,6.14655081544,1007,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
260,1317,2,684.572021484,6.34388541359,883,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
313,1317,-4.99999992549,539.397460938,7.92514603165,2640,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
345,1317,1,820.473510742,6.56060090886,686,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
378,1317,1,798.242675781,6.74230944364,709,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
410,1317,-1.66666660044,800.825622559,6.78872976482,696,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
