TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
315,761,-2.99999991059,328.931610107,4.8038331439,2626,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
348,761,-2,490.913391113,3.82727277231,633,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
381,761,-2,466.335388184,3.86228493211,650,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
413,761,2.625,457.775512695,3.90363752439,678,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
446,761,2,456.275909424,3.94385978201,675,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
478,761,2,456.539703369,3.94786267636,695,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
531,761,-4,348.796173096,5.01187631016,2623,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
564,761,-2,527.152770996,3.80292754647,545,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
33,429,-4,17.0139789581,0.424294898487,4416,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19056-2];429,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19056-2];309,[7567-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];306
66,745,-2.99999991059,49.9540138245,1.06500225505,3696,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737,[5314-2][9179-2][10981-2][14825-2][19051-2][19054-2][19056-2];610
98,761,-1.4999999553,115.851234436,1.97243976172,2662,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
130,761,-1.4999999553,210.324142456,2.94741368805,1778,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
163,761,-1.4999999553,301.088165283,3.55069912155,1246,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
196,761,-1.4999999553,376.335510254,3.8365584186,965,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
229,761,-1.4999999553,426.036804199,3.93122721654,792,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
261,761,1,451.799102783,3.9123888891,686,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
315,761,-4,349.941040039,5.02943885708,2617,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
348,761,-4,535.391235352,3.82396498375,503,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
381,761,-4,506.446563721,3.90708210946,545,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
414,761,1,493.018005371,3.9552879275,584,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
446,761,2,490.279693604,3.94966378254,575,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
479,761,2,488.910461426,3.9676406978,597,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
532,761,-4,356.395050049,5.10471525612,2612,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
565,761,-4,558.210876465,3.76647520877,439,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19051-2][19054-2][19056-2];761,[9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];745,[5314-2][9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];737
