TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
823,429,1,279.759979248,2.37155550101,582,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
856,429,3,278.762939453,2.37035089263,586,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
889,429,1,276.315338135,2.36924847541,579,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
943,429,-2.99999991059,206.463226318,2.97751016913,2626,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
33,429,-2.99999991059,7.68165397644,0.404023458724,4591,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];271,[5314-2][9179-2][10981-2][14823-2][14825-2][15961-2][19054-2][19056-2];160
66,429,-2.99999991059,47.1417388916,1.42882181269,3706,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[5314-2][9179-2][10981-2][14823-2][14824-2][14825-2][19054-2][19056-2];271
100,429,-2.99999991059,169.888442993,2.37180086534,1687,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
133,429,1,242.858642578,2.41266639759,861,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
166,429,1.66666662693,263.204284668,2.37725830716,686,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
219,429,-2.99999991059,206.35055542,2.97886942812,2634,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][14823-2][14825-2][19051-2][19054-2][19056-2];429,[5314-2][9179-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];291,[9179-2][10981-2][14823-2][14824-2][14825-2][19051-2][19054-2][19056-2];278
