[111-2][475-2];6,[151-2][447-2];5,[56-2][214-2];4,[151-2][353-2];4,[26-2][480-2];4,[63-2][475-2];4,[136-2][530-2];4
[111-2][475-2];6,[151-2][447-2];5,[56-2][214-2];4,[63-2][475-2];4,[151-2][353-2];4,[26-2][480-2];4,[63-2][534-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[63-2][475-2];4,[151-2][353-2];4,[56-2][214-2];4,[26-2][480-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[56-2][214-2];4,[26-2][480-2];4,[63-2][534-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[56-2][214-2];4,[151-2][353-2];4,[63-2][475-2];4,[63-2][534-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[56-2][214-2];4,[63-2][475-2];4,[26-2][480-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[56-2][214-2];4,[26-2][480-2];4,[63-2][475-2];4
[216-2][534-2];6,[111-2][475-2];6,[151-2][447-2];5,[151-2][353-2];4,[56-2][214-2];4,[26-2][480-2];4,[63-2][475-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[63-2][475-2];4,[56-2][214-2];4,[26-2][480-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[151-2][291-2];4,[26-2][480-2];4,[56-2][214-2];4
[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[151-2][291-2];4,[294-2][447-2];4,[26-2][480-2];4
[216-2][534-2];6,[111-2][475-2];6,[345-2][475-2];6,[151-2][447-2];5,[151-2][353-2];4,[294-2][447-2];4,[26-2][480-2];4
[216-2][534-2];6,[111-2][475-2];6,[345-2][475-2];6,[151-2][447-2];5,[151-2][353-2];4,[151-2][291-2];4,[151-2][552-2];4
[345-2][475-2];6,[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[294-2][447-2];4,[151-2][353-2];4,[151-2][291-2];4
[111-2][475-2];6,[345-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][291-2];4,[151-2][353-2];4,[294-2][447-2];4
[216-2][534-2];6,[345-2][475-2];6,[111-2][475-2];6,[151-2][447-2];5,[151-2][353-2];4,[151-2][291-2];4,[232-2][330-2];3
[345-2][475-2];6,[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][291-2];4,[151-2][353-2];4,[151-2][234-2];3
[345-2][475-2];6,[216-2][534-2];6,[111-2][475-2];6,[151-2][447-2];5,[151-2][291-2];4,[151-2][353-2];4,[211-2][252-2];3.5
[345-2][475-2];6,[216-2][534-2];6,[111-2][475-2];6,[151-2][447-2];5,[151-2][353-2];4,[151-2][291-2];4,[325-2][347-2];3
