TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
3,1857.58005794,215.785545748,1182.93029785,6.53989469764,656,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395,[55-2][198-2][264-2][320-2][371-2][494-2];1783.14360416
3,1857.58005794,205.198887705,1190.75280762,6.46068348101,655,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[25-2][264-2][320-2][371-2][494-2][563-2];1809.93024973,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395
3,1857.58005794,325.487434542,1165.16687012,6.82121725312,659,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[25-2][264-2][320-2][371-2][494-2][563-2];1809.93024973,[83-2][139-2][415-2][437-2][514-2][551-2];1800.17805395
3,1857.58005794,199.460890691,1168.78063965,8.68209990786,651,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[139-2][165-2][171-2][387-2][404-2][573-2];1844.8329811,[25-2][264-2][320-2][371-2][494-2][563-2];1809.93024973
4,1857.58005794,183.836595287,1185.00366211,8.84923259959,651,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[139-2][165-2][171-2][387-2][404-2][573-2];1844.8329811,[25-2][264-2][320-2][371-2][494-2][563-2];1809.93024973
4,1857.58005794,150.868079143,1194.21264648,10.427996286,640,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[139-2][165-2][171-2][387-2][404-2][573-2];1844.8329811,[25-2][264-2][320-2][371-2][494-2][563-2];1809.93024973
4,1857.58005794,163.496966186,1205.3984375,8.4415415076,642,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[139-2][165-2][171-2][387-2][404-2][573-2];1844.8329811,[38-2][139-2][154-2][387-2][404-2][514-2];1814.23561394
4,1857.58005794,163.496966186,1207.13623047,8.73481295509,641,-1[149-2][264-2][320-2];5251.98097041,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794,[139-2][165-2][171-2][387-2][404-2][573-2];1844.8329811,[38-2][139-2][154-2][387-2][404-2][514-2];1814.23561394
4,2416.40087773,163.496966186,1190.45324707,9.68474296067,643,-1[149-2][264-2][320-2];5251.98097041,[264-2][267-2][296-2][320-2][322-2][548-2];2416.40087773,[139-2][182-2][320-2][415-2][447-2][533-2];1916.90129179,[139-2][165-2][171-2][387-2][404-2][441-2];1857.58005794
5,2416.40087773,63.0644652875,1178.02099609,10.710995489,642,-1[149-2][264-2][320-2];5251.98097041,[264-2][267-2][296-2][320-2][322-2][548-2];2416.40087773,[139-2][182-2][320-2][415-2][447-2][533-2];1916.90129179,[264-2][320-2][371-2][429-2][494-2][563-2];1887.46463233
5,2416.40087773,179.104871616,1179.69348145,8.35178967239,659,-1[149-2][264-2][320-2];5251.98097041,[264-2][267-2][296-2][320-2][322-2][548-2];2416.40087773,[139-2][182-2][320-2][415-2][447-2][533-2];1916.90129179,[264-2][320-2][371-2][429-2][494-2][563-2];1887.46463233
5,2416.40087773,204.331560021,1210.06225586,10.381098918,644,-1[149-2][264-2][320-2];5251.98097041,[264-2][267-2][296-2][320-2][322-2][548-2];2416.40087773,[264-2][265-2][267-2][296-2][320-2][563-2];2312.16012453,[139-2][182-2][320-2][415-2][447-2][533-2];1916.90129179
5,2841.52413543,124.839547969,1231.31567383,9.99662571646,627,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543,[264-2][267-2][296-2][320-2][322-2][548-2];2416.40087773,[264-2][265-2][267-2][296-2][320-2][563-2];2312.16012453
5,2841.52413543,151.917806016,1204.39221191,10.7202353552,632,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543,[264-2][267-2][296-2][320-2][322-2][548-2];2416.40087773,[264-2][265-2][267-2][296-2][320-2][563-2];2312.16012453
6,2841.52413543,118.89966046,1195.51391602,9.44037687346,657,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543,[264-2][320-2][371-2][429-2][494-2][573-2];2579.74117221,[264-2][267-2][296-2][320-2][322-2][548-2];2416.40087773
6,2841.52413543,16.1065875342,1186.97998047,8.91005825372,639,-1[149-2][264-2][320-2];5251.98097041,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543,[264-2][267-2][296-2][320-2][494-2][563-2];2659.10338753,[264-2][320-2][371-2][429-2][494-2][573-2];2579.74117221
6,4515.63738848,16.1065875342,1129.6126709,11.5410642626,660,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543,[264-2][267-2][296-2][320-2][494-2][563-2];2659.10338753
6,4515.63738848,96.7778756508,1172.6505127,12.2400581548,640,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[264-2][320-2][371-2][429-2][433-2][563-2];2956.8699936,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543
6,4515.63738848,110.166613524,1204.0793457,11.5171994128,619,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[264-2][320-2][371-2][429-2][433-2][563-2];2956.8699936,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543
6,4515.63738848,54.6062518039,1169.9095459,13.7474571287,633,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[264-2][320-2][371-2][429-2][433-2][563-2];2956.8699936,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543
6,4515.63738848,53.4307690826,1182.3638916,17.3362470417,639,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[264-2][320-2][371-2][429-2][433-2][563-2];2956.8699936,[264-2][296-2][320-2][429-2][494-2][563-2];2841.52413543
7,4515.63738848,39.2066859104,1173.99304199,18.3106526624,647,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[148-2][264-2][267-2][296-2][320-2][432-2];3373.99393851,[264-2][320-2][371-2][429-2][433-2][563-2];2956.8699936
