[264-2][320-2][416-2];1423.91,[149-2][264-2][435-2];932.797,[221-2][264-2][416-2];170.055,[221-2][264-2][401-2];153.045,[259-2][264-2][339-2];142.694,[251-2][260-2][264-2];139.561,[223-2][264-2][537-2];124.501,[304-2][320-2][447-2];124.032,[320-2][328-2][538-2];122.6,[221-2][264-2][347-2];122.092
[251-2][264-2][320-2];1644.67,[264-2][320-2][364-2];1538.54,[70-2][264-2][320-2];1477.8,[264-2][320-2][416-2];1423.91,[264-2][320-2][356-2];1405.64,[239-2][264-2][320-2];1400.96,[149-2][264-2][529-2];1101.84,[149-2][264-2][435-2];932.797,[264-2][328-2][509-2];178.019,[54-2][264-2][401-2];170.122
[149-2][264-2][320-2];5251.98,[264-2][320-2][381-2];2798.84,[264-2][320-2][405-2];2250.6,[264-2][320-2][425-2];1898.28,[229-2][264-2][320-2];1833.9,[258-2][264-2][320-2];1752.99,[264-2][320-2][399-2];1752.99,[264-2][320-2][529-2];1752.99,[214-2][264-2][320-2];1684.73,[251-2][264-2][320-2];1644.67
[149-2][264-2][320-2];5251.98,[264-2][320-2][381-2];2798.84,[264-2][320-2][348-2];2310.09,[264-2][320-2][405-2];2250.6,[264-2][320-2][559-2];2044.06,[264-2][320-2][425-2];1898.28,[229-2][264-2][320-2];1833.9,[219-2][264-2][320-2];1794.9,[179-2][264-2][320-2];1777.62,[264-2][320-2][529-2];1752.99
[149-2][264-2][320-2];5251.98,[264-2][320-2][381-2];2798.84,[155-2][264-2][320-2];2532.89,[264-2][320-2][348-2];2310.09,[264-2][320-2][405-2];2250.6,[264-2][320-2][360-2];2056.85,[264-2][320-2][559-2];2044.06,[264-2][320-2][330-2];1986.62,[112-2][264-2][320-2];1914.84,[264-2][320-2][425-2];1898.28
[149-2][264-2][320-2];5251.98,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[147-2][264-2][320-2];2631.94,[155-2][264-2][320-2];2532.89,[264-2][320-2][348-2];2310.09,[264-2][320-2][405-2];2250.6,[264-2][297-2][320-2];2117.54,[264-2][285-2][320-2];2107.3,[264-2][320-2][360-2];2056.85
[149-2][264-2][320-2];5251.98,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93,[155-2][264-2][320-2];2532.89,[264-2][320-2][348-2];2310.09,[264-2][320-2][405-2];2250.6,[264-2][320-2][556-2];2177.22
[149-2][264-2][320-2];5251.98,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93,[155-2][264-2][320-2];2532.89,[264-2][320-2][348-2];2310.09
[149-2][264-2][320-2];5251.98,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93,[155-2][264-2][320-2];2532.89,[264-2][320-2][348-2];2310.09
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
