TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98,Top
0,1752.98632505,10.0826151998,1521.03979492,28.886884165,30,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][572-2];121.377034722
0,1752.98632505,8.6005904462,1549.79125977,33.8268524605,28,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][572-2];121.377034722
0,1752.98632505,66.4746906333,1542.84814453,21.0955303597,28,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][572-2];121.377034722
0,1752.98632505,62.8196911272,1586.68139648,19.9435809608,23,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][572-2];121.377034722
0,1752.98632505,62.8196911272,1543.56286621,16.8300114899,26,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,62.8196911272,1492.71850586,13.72490884,32,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,4.7751405408,1520.77172852,28.2116527952,29,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,71.8560007251,1615.94213867,20.1709665105,18,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,62.8196911272,1587.04650879,14.1102665232,23,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,62.8196911272,1580.01184082,16.5995812334,22,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,14.4356486978,1601.05273438,17.1714573123,20,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
