[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[305-2][320-2];100.681,[131-2][320-2];97.7946,[320-2][513-2];95.7137,[320-2][384-2];94.6395
[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681,[131-2][320-2];97.7946,[320-2][513-2];95.7137
[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681,[206-2][320-2];97.8346,[131-2][320-2];97.7946
[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681,[206-2][320-2];97.8346,[131-2][320-2];97.7946
[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681,[206-2][320-2];97.8346,[131-2][320-2];97.7946
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[32-2][320-2];129.988,[320-2][363-2];114.708,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][448-2];104.726,[92-2][320-2];100.984,[305-2][320-2];100.681
[306-2][320-2];74.2371,[320-2][381-2];71.8017,[40-2][320-2];67.7209,[58-2][322-2];39.4948,[245-2][452-2];38.0866,[223-2][349-2];37.9492,[43-2][136-2];35.5924
[58-2][320-2];92.5993,[178-2][320-2];91.2376,[139-2][320-2];87.7774,[252-2][320-2];85.7738,[67-2][320-2];84.7229,[117-2][320-2];84.0882,[17-2][320-2];79.5749
[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[58-2][320-2];92.5993,[178-2][320-2];91.2376,[139-2][320-2];87.7774
[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[131-2][320-2];97.7946,[58-2][320-2];92.5993,[178-2][320-2];91.2376
[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[92-2][320-2];100.984,[131-2][320-2];97.7946
[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[92-2][320-2];100.984,[131-2][320-2];97.7946
[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[92-2][320-2];100.984,[131-2][320-2];97.7946
[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[92-2][320-2];100.984,[131-2][320-2];97.7946
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[92-2][320-2];100.984
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[92-2][320-2];100.984
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[245-2][320-2];105.462,[320-2][424-2];103.199,[92-2][320-2];100.984
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[294-2][320-2];103.257
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[294-2][320-2];103.257
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[294-2][320-2];103.257
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[294-2][320-2];103.257
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[294-2][320-2];103.257
